id,id_pratica,data_creazione,stato_pratica,note,id_cliente
1,504-621-8927,2016-03-15 00:00:00,open,jbutt@gmail.com,1
2,810-292-9388,2016-03-15 00:00:00,open,josephine_darakjy@darakjy.org,2
3,856-636-8749,2016-03-15 00:00:00,open,art@venere.org,3
4,907-385-4412,2016-03-15 00:00:00,close,lpaprocki@hotmail.com,4
5,513-570-1893,2016-03-15 00:00:00,close,donette.foller@cox.net,5
6,419-503-2484,2016-03-15 00:00:00,close,simona@morasca.com,6
7,773-573-6914,2016-03-15 00:00:00,open,mitsue_tollner@yahoo.com,7
8,408-752-3500,2016-03-15 00:00:00,close,leota@hotmail.com,1
9,605-414-2147,2016-03-15 00:00:00,open,sage_wieser@cox.net,3
10,410-655-8723,2016-03-15 00:00:00,open,kris@gmail.com,3
11,215-874-1229,2016-03-15 00:00:00,open,minna_amigon@yahoo.com,8
12,631-335-3414,2016-03-15 00:00:00,open,amaclead@gmail.com,9
13,310-498-5651,2016-03-15 00:00:00,close,kiley.caldarera@aol.com,10
14,440-780-8425,2016-03-15 00:00:00,close,gruta@cox.net,11
15,956-537-6195,2016-03-15 00:00:00,close,calbares@gmail.com,12
16,602-277-4385,2016-03-15 00:00:00,open,mattie@aol.com,13
17,931-313-9635,2016-03-15 00:00:00,close,meaghan@hotmail.com,14
18,414-661-9598,2016-03-15 00:00:00,open,gladys.rim@rim.org,15
19,313-288-7937,2016-03-15 00:00:00,open,yuki_whobrey@aol.com,16
20,815-828-2147,2016-03-15 00:00:00,open,fletcher.flosi@yahoo.com,17
21,610-545-3615,2016-03-15 00:00:00,open,bette_nicka@cox.net,18
22,408-540-1785,2016-03-15 00:00:00,close,vinouye@aol.com,19
23,972-303-9197,2016-03-15 00:00:00,close,willard@hotmail.com,20
24,518-966-7987,2016-03-15 00:00:00,close,mroyster@royster.com,21
25,732-658-3154,2016-03-15 00:00:00,open,alisha@slusarski.com,22
26,715-662-6764,2016-03-15 00:00:00,close,allene_iturbide@cox.net,23
27,913-388-2079,2016-03-15 00:00:00,open,chanel.caudy@caudy.org,24
28,410-669-1642,2016-03-15 00:00:00,open,ezekiel@chui.com,25
29,212-582-4976,2016-03-15 00:00:00,open,wkusko@yahoo.com,26
30,936-336-3951,2016-03-15 00:00:00,open,bfigeroa@aol.com,27
31,614-801-9788,2016-03-15 00:00:00,close,ammie@corrio.com,28
32,505-977-3911,2016-03-15 00:00:00,close,francine_vocelka@vocelka.com,29
33,201-709-6245,2016-03-15 00:00:00,close,ernie_stenseth@aol.com,30
34,732-924-7882,2016-03-15 00:00:00,open,albina@glick.com,31
35,212-860-1579,2016-03-15 00:00:00,close,asergi@gmail.com,32
36,504-979-9175,2016-03-15 00:00:00,open,solange@shinko.com,33
37,212-675-8570,2016-03-15 00:00:00,open,jose@yahoo.com,34
38,805-832-6163,2016-03-15 00:00:00,open,rozella.ostrosky@ostrosky.com,35
39,210-812-9597,2016-03-15 00:00:00,open,valentine_gillian@gmail.com,36
40,785-463-7829,2016-03-15 00:00:00,close,kati.rulapaugh@hotmail.com,37
41,541-548-8197,2016-03-15 00:00:00,close,youlanda@aol.com,38
42,913-413-4604,2016-03-15 00:00:00,close,doldroyd@aol.com,39
43,907-231-4722,2016-03-15 00:00:00,open,roxane@hotmail.com,40
44,305-606-7291,2016-03-15 00:00:00,close,lperin@perin.org,41
45,907-741-1044,2016-03-15 00:00:00,open,erick.ferencz@aol.com,42
46,952-768-2416,2016-03-15 00:00:00,open,fsaylors@saylors.org,43
47,617-399-5124,2016-03-15 00:00:00,open,jina_briddick@briddick.com,44
48,323-453-2780,2016-03-15 00:00:00,open,kanisha_waycott@yahoo.com,45
49,608-336-7444,2016-03-15 00:00:00,close,emerson.bowley@bowley.org,46
50,215-907-9111,2016-03-15 00:00:00,close,bmalet@yahoo.com,47
51,212-402-9216,2016-03-15 00:00:00,close,bbolognia@yahoo.com,48
52,931-875-6644,2016-03-15 00:00:00,open,lnestle@hotmail.com,49
53,803-925-5213,2016-03-15 00:00:00,close,sabra@uyetake.org,50
54,610-814-5533,2016-03-15 00:00:00,open,mmastella@mastella.com,51
55,908-877-6135,2016-03-15 00:00:00,open,karl_klonowski@yahoo.com,52
56,516-968-6051,2016-03-15 00:00:00,open,twenner@aol.com,53
57,215-934-8655,2016-03-15 00:00:00,open,amber_monarrez@monarrez.org,54
58,818-423-4007,2016-03-15 00:00:00,close,shenika@gmail.com,55
59,401-458-2547,2016-03-15 00:00:00,close,delmy.ahle@hotmail.com,56
60,215-211-9589,2016-03-15 00:00:00,close,deeanna_juhas@gmail.com,57
61,401-960-8259,2016-03-15 00:00:00,open,bpugh@aol.com,58
62,732-234-1546,2016-03-15 00:00:00,close,jamal@vanausdal.org,59
63,512-486-3817,2016-03-15 00:00:00,open,cecily@hollack.org,60
64,303-724-7371,2016-03-15 00:00:00,open,carmelina_lindall@lindall.com,61
65,414-748-1374,2016-03-15 00:00:00,open,maurine_yglesias@yglesias.com,62
66,212-674-9610,2016-03-15 00:00:00,open,tawna@gmail.com,63
67,907-797-9628,2016-03-15 00:00:00,close,penney_weight@aol.com,64
68,814-393-5571,2016-03-15 00:00:00,close,elly_morocco@gmail.com,65
69,410-914-9018,2016-03-15 00:00:00,close,ilene.eroman@hotmail.com,66
70,208-862-5339,2016-03-15 00:00:00,open,vmondella@mondella.com,67
71,415-315-2761,2016-03-15 00:00:00,close,kallie.blackwood@gmail.com,68
72,919-225-9345,2016-03-15 00:00:00,open,johnetta_abdallah@aol.com,69
73,650-528-5783,2016-03-15 00:00:00,open,brhym@rhym.com,70
74,925-647-3298,2016-03-15 00:00:00,open,micaela_rhymes@gmail.com,71
75,740-343-8575,2016-03-15 00:00:00,open,tamar@hotmail.com,72
76,585-866-8313,2016-03-15 00:00:00,close,moon@yahoo.com,73
77,410-520-4832,2016-03-15 00:00:00,close,laurel_reitler@reitler.com,74
78,973-354-2040,2016-03-15 00:00:00,close,delisa.crupi@crupi.com,75
79,773-446-5569,2016-03-15 00:00:00,open,viva.toelkes@gmail.com,76
80,973-927-3447,2016-03-15 00:00:00,close,elza@yahoo.com,77
81,505-975-8559,2016-03-15 00:00:00,open,devorah@hotmail.com,78
82,718-332-6527,2016-03-15 00:00:00,open,timothy_mulqueen@mulqueen.org,79
83,904-775-4480,2016-03-15 00:00:00,open,ahoneywell@honeywell.com,80
84,510-993-3758,2016-03-15 00:00:00,open,dominque.dickerson@dickerson.org,81
85,216-657-7668,2016-03-15 00:00:00,close,lettie_isenhower@yahoo.com,82
86,817-914-7518,2016-03-15 00:00:00,close,mmunns@cox.net,83
87,310-774-7643,2016-03-15 00:00:00,close,stephaine@barfield.com,84
88,847-728-7286,2016-03-15 00:00:00,open,lai.gato@gato.org,85
89,330-537-5358,2016-03-15 00:00:00,close,stephen_emigh@hotmail.com,86
90,215-255-1641,2016-03-15 00:00:00,open,tshields@gmail.com,87
91,650-803-1936,2016-03-15 00:00:00,open,twardrip@cox.net,88
92,626-572-1096,2016-03-15 00:00:00,open,cory.gibes@gmail.com,89
93,254-782-8569,2016-03-15 00:00:00,open,danica_bruschke@gmail.com,90
94,907-870-5536,2016-03-15 00:00:00,close,wilda@cox.net,91
95,408-703-8505,2016-03-15 00:00:00,close,elvera.benimadho@cox.net,92
96,510-503-7169,2016-03-15 00:00:00,close,carma@cox.net,93
